L,W,T,V1,Wt (gm),SA,
172,38.9,34.75,121739.4904,130.14,11878.77831,
160.5,35.05,37.7,111046.0287,204.49,11172.563,
159,32.05,29.3,78179.23219,140.14,8841.888997,
170,34.8,31.05,96180.80157,247.2,10151.79999,
160.5,34.7,33.35,97252.09644,278.46,10227.04356,
168,35.75,31.3,98430.18191,107.35,10309.46946,
171.5,37.4,35.9,120567.0951,195.03,11802.39076,
161.5,34.6,34.45,100794.4163,158.98,10473.90042,
167.5,34.3,32.3,97165.04946,127.1,10220.94007,
165.5,36.55,33.5,106103.2798,109.06,10838.52034,
162,35.95,33.45,102001.9921,226.09,10557.38988,
162,35.2,31.2,93156.01333,246.99,9937.825975,
164.5,35.25,33.05,100344.855,188.75,10442.73357,
161.5,35.9,33.45,101545.7425,144.41,10525.8846,
168,34.7,30.2,92181.61695,164.36,9868.405932,
172.5,36.35,31,101777.9808,177.72,10541.92717,
173,34.9,34.05,107643.3657,109.23,10943.14877,
175.5,34.7,35.45,113037.2172,175.08,11305.72531,
165.5,34.45,30.85,92096.0524,151.88,9862.298305,
170.5,34.85,32.2,100180.1459,165.03,10431.30309,
173.5,34.8,31.05,98160.99454,307.09,10290.66462,
174,35.05,29.35,93722.52888,96.66,9978.075601,
168.5,34.5,32.2,98010.70075,161.5,10280.15795,
169.5,35.55,31.55,99542.21342,324.83,10386.97262,
172.5,35,29.45,93098.15305,114.54,9933.71055,
168.5,35.15,31.45,97531.41086,182.23,10246.61603,
170.5,35.2,35.3,110927.7935,98.22,11164.63101,
171,35.65,28.5,90970.19526,97,9781.757134,
169.5,35.05,31.85,99075.38846,159.09,10354.47253,
161,33.75,28.55,81227.74338,214.27,9070.27351,
165.5,35.6,34.9,107664.3804,191.16,10944.57298,
167.5,33.4,28.25,82751.97214,252.38,9183.389956,
177.5,32,33,98143.3545,166.73,10289.43172,
171.5,31.4,33.85,95444.5353,279.3,10099.92549,
170.5,33.5,31.35,93757.35736,97.76,9980.547434,
172,39.25,31.45,111169.9423,111.07,11180.87292,
173,34.35,36.4,113259.0333,82.41,11320.51084,
172.5,34.6,31.7,99065.64756,205.68,10353.79383,
178,33.2,30.5,94374.90939,208.88,10024.32541,
180,37.2,30.45,106758.2299,143.98,10883.07697,
183,36.5,35.05,122583.0997,189.66,11933.59213,
173,35.7,33.7,108979.006,160.54,11033.48442,
185,36.1,33.35,116620.095,171.81,11543.38157,
181,34.1,31.9,103091.3577,258.47,10632.42425,
172,35.65,29.85,95836.49872,192.05,10127.55826,
179.5,35.7,33.05,110892.6483,120.2,11162.27269,
186.5,35.35,33.2,114605.3681,119.52,11410.04695,
188,34.65,29.95,102154.273,287.67,10567.89483,
180,34.85,29.9,98207.60007,174.78,10293.92161,
187.5,38.2,38,142510.4967,189.92,13194.16853,
179,36.6,33,113200.0656,146.84,11316.58119,
181,36.85,35,122231.3853,154.72,11910.75469,
189.5,39.7,34,133929.8124,312.06,12659.08448,
184.5,37,34.05,121706.5168,124.13,11876.63327,
180.5,21.5,33.25,67562.53528,200.1,8022.100218,
188,37.5,30.85,113878.8067,149.8,11361.77182,
175,38.7,35.3,125176.3666,194.79,12101.30904,
179,37.1,36.3,126221.1661,201.82,12168.5524,
183,37.35,33.35,119353.7741,171.77,11723.0755,
184,37.2,33.2,118986.4395,186.57,11699.00977,
187,35.45,36.7,127386.244,124.99,12243.31847,
192.5,38,33.3,127543.1639,145.13,12253.37097,
189,36.4,34.25,123373.6422,141.61,11984.8439,
197,37.4,32.75,126342.0022,147.72,12176.31742,
190.5,36.5,34.4,125240.5336,118.37,12105.44422,
182.5,36.95,37.15,131170.0705,100.73,12484.58065,
183,35.95,31.9,109885.222,307.38,11094.56599,
159.5,38.95,32,104091.8555,263.98,10701.10498,
144,32,39.25,94700.16895,166.98,10047.34451,
164,34.75,31.65,94443.26521,245.73,10029.16524,
153,33.1,33.55,88963.23592,68.3,9637.354598,
157.5,34.8,35.65,102309.9703,189.83,10578.63007,
153,33.4,28.35,75855.93803,128.05,8665.836947,
152.5,34.35,33.6,92158.30633,180.51,9866.7422,
154.5,33.85,28.6,78316.23704,151.91,8852.215936,
156.5,34.15,32.05,89687.45615,206.17,9689.586897,
166,33.75,29.05,85217.07518,176.33,9364.872608,
156.5,34.1,32.05,89556.14216,137.02,9680.126719,
161.5,32.3,29.5,80574.14157,119.58,9021.551847,
162.5,34.7,32.05,94625.7852,118.45,10042.08259,
159.5,33.9,29.6,83801.29288,199.73,9260.858968,
157.5,32.9,30.2,81937.37025,94.25,9123.023748,
161.5,34.15,31.45,90820.21105,127.72,9771.002604,
148.5,33.7,32,83850.36456,97.48,9264.473881,
146,33.3,35.45,90242.67309,118.95,9729.535162,
145.5,32.9,30.4,76195.81123,267.51,8691.702562,
152,34.35,31.85,87071.97358,105.19,9500.279519,
151.5,33.6,29.2,77827.55445,115.49,8815.353123,
155,34.3,30.55,85042.4288,191.32,9352.073138,
158,19.25,29.1,46342.49717,179,6239.317401,
159,33.6,28.95,80981.08516,199.85,9051.90219,
161.5,18.9,32.2,51462.25647,151.83,6690.778834,
157.5,34.15,27.85,78432.32478,87.94,8860.961504,
150,34.4,31.8,85916.27589,126.85,9416.028271,
155,34.1,29.85,82609.31765,98.8,9172.832879,
156,35.4,31.45,90938.36307,157.61,9779.47512,
152.5,33.9,30.2,81747.61806,144.49,9108.933453,
148,33.45,34.1,88391.56816,251.35,9596.02455,
158,35.7,33.15,97905.58306,179.33,10272.80624,
150.5,34.75,31,84889.04054,129.9,9340.824401,
146,32.75,34.4,86123.41157,141.63,9431.156274,
133.5,30.75,27.5,59109.55665,222.95,7338.195184,
142,18.2,29,39242.47159,105.6,5584.552262,
137.5,32.35,31.8,74063.24316,163.44,8528.760942,
142.5,32.85,28.5,69854.39258,112.63,8202.506909,
148,33.2,30.95,79626.76551,232.23,8950.696699,
154,33.7,28.85,78396.2089,332.85,8858.241146,
148.5,34.7,31.15,84045.13938,125.23,9278.815209,
147,33.6,29.1,75257.22901,227.37,8620.178788,
148.5,34.25,28.85,76830.11253,190.1,8739.87264,
148,33.7,31.75,82915.16479,134.77,9195.459514,
150.5,32.85,29.3,75846.94915,93.77,8665.152336,
152,32.95,31.75,83260.94942,177.9,9221.007254,
142.5,32.2,32.85,78923.20845,123.32,8897.895057,
142,31.4,29.9,69805.2044,145.99,8198.65591,
134,31.6,31.25,69285.20798,270.97,8157.8893,
136.5,29.25,26.75,55921.77277,138.55,7071.932033,
141.5,32.65,29.45,71239.94031,103.26,8310.614851,
135,31.05,27.55,60466.60687,190.19,7450.084355,
135.5,32.45,24.7,56865.59294,143.32,7151.280929,
141.5,31.25,26.85,62165.49182,153.6,7588.985221,
142,30.95,28.75,66158.47244,183.87,7910.569865,
139.5,32.65,29.15,69517.56868,163.68,8176.118443,
138,31.25,29.3,66159.97779,175,7910.689861,
143,31.05,27.15,63119.87036,115.87,7666.459692,
138.5,31,29.75,66880.12246,180.92,7967.990927,
134,29.65,25.25,52527.83496,175.3,6782.822597,
135.5,30.6,25.9,56228.83792,108.13,7097.796276,
139.5,29.7,32.85,71263.09057,150.6,8312.415176,
141.5,32.8,31.45,76427.48274,85.81,8709.311587,
